,Unnamed: 0,Ticker,Price,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,Two-Week Price Return,Two-Week Return Percentile,Inverse RSI,RSI Percentile,HQM Score
0,0,A,147.2,0.1878631375080696,0.5992063492063492,0.0996563573883159,0.8392857142857143,0.0695342585192181,0.8869047619047619,0.0254981189912219,0.7996031746031745,-70.63795833452117,0.0515873015873015,0.6353174603174603
1,1,AAL,22.23,0.4309623430962343,0.9603174603174603,0.0580675868633983,0.7023809523809524,-0.0907975460122699,0.0456349206349206,-0.0552486187845304,0.0853174603174603,-41.90369654930158,0.873015873015873,0.5333333333333333
2,2,AAP,204.3,0.2960730825350505,0.8333333333333333,0.0223178542834267,0.5416666666666666,0.0827282844877842,0.9166666666666669,0.0246764971411376,0.7936507936507937,-62.3586247130225,0.1626984126984126,0.6496031746031746
3,3,AAPL,133.11,-0.0703635157313963,0.0595238095238095,-0.0028466551801632,0.3968253968253968,0.0610601833399761,0.8630952380952381,0.045212446437868,0.9007936507936508,-62.15067698059553,0.1726190476190476,0.4785714285714286
4,4,ABBV,112.89,0.0374965536255858,0.2202380952380952,0.0188628158844765,0.5198412698412698,0.005253784505788,0.5873015873015873,-0.0220046781599238,0.3472222222222222,-45.09195359127094,0.75,0.4849206349206349
5,5,ABC,116.41,0.0694533762057878,0.2996031746031746,-0.0390457322106653,0.2162698412698412,0.0114692849074636,0.625,-0.0287025448477263,0.2916666666666667,-47.01941118618689,0.6825396825396826,0.423015873015873
6,6,ABMD,311.53,-0.0867168948433057,0.0436507936507936,-0.0907684674430144,0.0496031746031746,0.0893609581257101,0.9246031746031744,0.0405838733382322,0.878968253968254,-57.18938049504787,0.2817460317460317,0.4357142857142857
7,7,ABT,112.73,-0.0171752397558849,0.115079365079365,-0.080505709624796,0.0615079365079365,-0.02507999654069,0.3353174603174603,0.0255640465793304,0.8015873015873016,-51.253276981896576,0.5079365079365079,0.3642857142857142
8,8,ACN,294.79,0.1651778656126483,0.5257936507936508,0.0142090414917773,0.494047619047619,0.0525770803206399,0.8353174603174603,0.0333356702187326,0.8452380952380952,-66.94711931170946,0.0952380952380952,0.5591269841269841
9,9,ADBE,579.47,0.2162369213655302,0.6765873015873016,0.1310925025863248,0.8948412698412699,0.1616582803760801,0.9821428571428572,0.070377006483551,0.9682539682539684,-76.1657520731407,0.0158730158730158,0.7075396825396826
10,10,ADI,167.74,0.0824030457507905,0.3293650793650793,0.0597005496241077,0.7063492063492063,0.0263093489965737,0.7083333333333333,0.0005368326871458,0.6071428571428572,-60.370166288068205,0.2043650793650793,0.5111111111111111
11,11,ADM,61.46,0.1778459179762361,0.5694444444444444,0.027415580073554,0.5714285714285715,-0.0774542179525668,0.0634920634920634,-0.0687878787878787,0.0396825396825396,-33.105744087112164,0.9900793650793652,0.4468253968253968
12,12,ADP,197.36,0.1995380781620374,0.6170634920634921,0.0156965673408471,0.501984126984127,0.0004562275054494,0.5436507936507937,-0.0114700726270973,0.4603174603174603,-52.86707748714096,0.4365079365079365,0.5119047619047619
13,13,ADSK,288.78,-0.0101799485861183,0.123015873015873,6.926167059143168e-05,0.4146825396825397,0.0061144499608047,0.5992063492063492,0.0406486486486485,0.880952380952381,-58.47026751711744,0.2579365079365079,0.4551587301587302
14,14,AEE,81.71,0.0864246775694721,0.3353174603174603,-0.0396097790314998,0.2123015873015873,-0.0237753882915174,0.3511904761904762,-0.0476689976689977,0.123015873015873,-39.35001333072461,0.9206349206349206,0.3884920634920635
15,15,AEP,84.84,0.0369102908824249,0.2182539682539682,-0.0499440089585665,0.1746031746031746,-0.0086468801121756,0.4801587301587302,0.0011800802454567,0.6150793650793651,-50.98746180298152,0.5238095238095238,0.4023809523809524
16,16,AES,26.22,0.0675895765472312,0.2956349206349206,-0.0764353645649877,0.0694444444444444,0.03452357466956,0.748015873015873,0.0129418582190456,0.7321428571428571,-55.28048982996261,0.3452380952380952,0.4380952380952381
17,17,AFL,54.23,0.167994830928279,0.5317460317460317,0.013644859813084,0.4920634920634921,-0.0454145396937159,0.1726190476190476,-0.0359111111111111,0.2142857142857142,-46.152720802606,0.7103174603174603,0.4242063492063492
18,18,AIG,49.0,0.2528765021733572,0.746031746031746,0.0474561778537836,0.6587301587301587,-0.0704732998197857,0.0853174603174603,-0.0582356332884874,0.0714285714285714,-44.33662079739591,0.7817460317460317,0.4686507936507936
19,19,AIV,7.35,0.5572033898305084,0.98015873015873,0.1247130833970925,0.8849206349206349,0.0499999999999999,0.8293650793650794,-0.04296875,0.1567460317460317,-54.25998589254465,0.3849206349206349,0.6472222222222223
20,20,AIZ,158.53,0.2150685981451675,0.6706349206349206,0.0179144728393475,0.5138888888888888,-0.0167462631024002,0.4146825396825397,-0.0265274792754067,0.3095238095238095,-51.620251986742616,0.4861111111111111,0.478968253968254
21,21,AJG,141.89,0.2083972066087547,0.6507936507936507,0.0339575894483713,0.5952380952380952,-0.0308060109289618,0.3035714285714286,-0.0187413554633472,0.3908730158730158,-48.09367647418917,0.6547619047619048,0.519047619047619
22,22,AKAM,116.92,-0.00059834173861,0.1349206349206349,0.1079313939164218,0.8571428571428571,0.0197104482818769,0.6726190476190476,-0.0129168425495989,0.4503968253968253,-58.80062088280879,0.246031746031746,0.4722222222222222
23,23,ALB,166.75,-0.049098996350365,0.0813492063492063,0.089157413455258,0.8075396825396826,-0.0110313741770951,0.4623015873015872,-0.0200975495093141,0.365079365079365,-52.69124128126853,0.4404761904761905,0.4313492063492063
