,Ticker,Price,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,Two-Week Price Return,Two-Week Return Percentile,Inverse RSI,RSI Percentile,HQM Score
0,A,147.2,0.18786313750806963,0.5992063492063492,0.09965635738831595,0.8392857142857143,0.06953425851921814,0.8869047619047619,0.025498118991221938,0.7996031746031745,-70.64389184226529,0.05158730158730159,0.6353174603174603
1,AAL,22.23,0.4309623430962343,0.9603174603174603,0.05806758686339832,0.7023809523809524,-0.0907975460122699,0.04563492063492063,-0.05524861878453041,0.08531746031746032,-41.89861417798882,0.873015873015873,0.5333333333333333
2,AAP,204.3,0.29607308253505055,0.8333333333333333,0.02231785428342678,0.5416666666666666,0.08272828448778427,0.9166666666666667,0.024676497141137607,0.7936507936507937,-62.36428716457938,0.16468253968253968,0.65
3,AAPL,133.11,-0.07036351573139636,0.05952380952380953,-0.0028466551801632736,0.39682539682539686,0.06106018333997617,0.8630952380952381,0.04521244643786809,0.9007936507936507,-62.160664228108764,0.17261904761904762,0.4785714285714286
4,ABBV,112.89,0.03749655362558587,0.22023809523809526,0.018862815884476566,0.5198412698412698,0.005253784505788098,0.5873015873015873,-0.022004678159923817,0.3472222222222222,-45.091467531941454,0.75,0.4849206349206349
5,ABC,116.41,0.0694533762057878,0.2996031746031746,-0.03904573221066538,0.21626984126984128,0.011469284907463665,0.625,-0.028540432279062018,0.29365079365079366,-47.02840624513875,0.6825396825396826,0.4234126984126984
6,ABMD,311.53,-0.08671689484330579,0.04365079365079365,-0.0907684674430144,0.04960317460317461,0.08936095812571011,0.9246031746031745,0.04058387333823227,0.878968253968254,-57.19253858761713,0.28174603174603174,0.4357142857142857
7,ABT,112.73,-0.017175239755884905,0.11507936507936507,-0.08050570962479602,0.06150793650793651,-0.02507999654069006,0.3353174603174603,0.02556404657933044,0.8015873015873016,-51.253276981896576,0.5079365079365079,0.36428571428571427
8,ACN,294.79,0.1651778656126483,0.5257936507936508,0.014209041491777317,0.49404761904761907,0.052577080320639936,0.8353174603174603,0.03333567021873264,0.8452380952380952,-66.95323508199584,0.09523809523809523,0.5591269841269841
9,ADBE,579.47,0.2162369213655302,0.6765873015873016,0.13109250258632485,0.8948412698412699,0.16165828037608013,0.9821428571428571,0.07037700648355104,0.9682539682539683,-76.13861700693253,0.015873015873015872,0.7075396825396826
10,ADI,167.74,0.08240304575079055,0.32936507936507936,0.059700549624107764,0.7063492063492063,0.026309348996573736,0.7083333333333333,0.0005368326871458599,0.6071428571428572,-60.381438109700994,0.20436507936507936,0.5111111111111111
11,ADM,61.46,0.17784591797623614,0.5694444444444444,0.027415580073554005,0.5714285714285715,-0.07745421795256685,0.06349206349206349,-0.06878787878787877,0.03968253968253968,-33.105059562262376,0.9900793650793651,0.44682539682539685
12,ADP,197.36,0.1995380781620374,0.6170634920634921,0.015696567340847158,0.501984126984127,0.0004562275054494014,0.5436507936507937,-0.01147007262709738,0.4603174603174603,-52.86811825711964,0.4365079365079365,0.5119047619047619
13,ADSK,288.78,-0.010179948586118346,0.12301587301587302,6.926167059143168e-05,0.4146825396825397,0.006114449960804793,0.5992063492063492,0.04064864864864855,0.880952380952381,-58.46753755178269,0.25793650793650796,0.4551587301587302
14,AEE,81.71,0.08642467756947216,0.3353174603174603,-0.03960977903149982,0.21230158730158732,-0.023775388291517433,0.3511904761904762,-0.047557990441776575,0.125,-39.36079690082297,0.9186507936507937,0.3884920634920635
15,AEP,84.84,0.036910290882424965,0.21825396825396826,-0.04994400895856656,0.1746031746031746,-0.008646880112175683,0.4801587301587302,0.0011800802454567918,0.6150793650793651,-50.98551108608867,0.5238095238095238,0.4023809523809524
16,AES,26.22,0.06758957654723129,0.29563492063492064,-0.07643536456498773,0.06944444444444445,0.034523574669560075,0.748015873015873,0.012941858219045674,0.7321428571428571,-55.2836805294545,0.34523809523809523,0.4380952380952381
17,AFL,54.23,0.16799483092827908,0.5317460317460317,0.013644859813084054,0.4920634920634921,-0.04541453969371599,0.17261904761904762,-0.035739687055476616,0.21626984126984128,-46.14013049543347,0.7103174603174603,0.4246031746031746
18,AIG,49.0,0.2528765021733572,0.746031746031746,0.04745617785378364,0.6587301587301587,-0.0704732998197857,0.08531746031746032,-0.05823563328848743,0.07142857142857144,-44.336504073191946,0.7817460317460317,0.46865079365079365
19,AIV,7.35,0.5572033898305084,0.9801587301587301,0.1247130833970925,0.8849206349206349,0.04999999999999995,0.8293650793650794,-0.044213263979193854,0.1488095238095238,-54.24042479930611,0.38492063492063494,0.6456349206349207
20,AIZ,158.53,0.2150685981451675,0.6706349206349206,0.01791447283934758,0.5138888888888888,-0.016746263102400228,0.4146825396825397,-0.026527479275406773,0.30952380952380953,-51.62029433739294,0.48611111111111116,0.478968253968254
21,AJG,141.89,0.20839720660875477,0.6507936507936507,0.03395758944837132,0.5952380952380952,-0.030806010928961878,0.3035714285714286,-0.01874135546334722,0.39087301587301587,-48.08688143952689,0.6547619047619048,0.519047619047619
22,AKAM,116.92,-0.0005983417386100793,0.1349206349206349,0.10793139391642187,0.8571428571428571,0.0197104482818769,0.6726190476190476,-0.012916842549598996,0.45039682539682535,-58.800059642950785,0.24603174603174605,0.4722222222222222
23,ALB,166.75,-0.049098996350365035,0.08134920634920634,0.08915741345525804,0.8075396825396826,-0.011031374177095151,0.46230158730158727,-0.020097549509314142,0.36507936507936506,-52.69560231991591,0.4404761904761905,0.43134920634920637
