,Ticker,Price,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,Two-Week Price Return,Two-Week Return Percentile,Inverse RSI,RSI Percentile,HQM Score
0,A,148.81,0.2081675732727125,0.6264150943396226,0.10384986276982419,0.8603773584905661,0.07895881670533654,0.8679245283018868,0.026134326299820657,0.3679245283018868,-70.86448980452056,0.07358490566037736,0.5592452830188679
1,AAL,21.48,0.29397590361445775,0.8301886792452831,-0.009910117538603358,0.3622641509433962,-0.11586746244083149,0.022641509433962263,-0.036339165545087426,0.03207547169811321,-38.418231661842114,0.9679245283018868,0.4430188679245283
2,AAP,211.06,0.3698078920041536,0.9283018867924528,0.06730720606826802,0.7547169811320755,0.09493670886075956,0.8886792452830189,0.09238652243672685,0.9358490566037736,-70.83473086456264,0.07547169811320754,0.7166037735849057
3,AAPL,139.96,0.0368943547192178,0.2113207547169811,0.04619446390008681,0.6528301886792452,0.11185255799173827,0.9132075471698112,0.07331288343558284,0.8528301886792452,-75.6619621969502,0.03773584905660377,0.5335849056603773
4,ABBV,115.17,0.11382978723404251,0.3735849056603774,0.028946663093004508,0.5716981132075472,0.02500889996440016,0.6924528301886792,0.018122347949080596,0.27735849056603773,-55.493147208545714,0.39811320754716983,0.46264150943396226
5,ABC,116.65,0.10453555534513784,0.34905660377358494,-0.022540640187698992,0.2962264150943396,-0.002309271296613035,0.5660377358490566,0.019667832167832168,0.2962264150943396,-49.706021557862876,0.6037735849056604,0.4222641509433962
6,ABMD,317.13,-0.08597532856813461,0.05849056603773585,-0.0964957264957265,0.056603773584905655,0.095440414507772,0.8924528301886793,-0.004520199642150855,0.09433962264150944,-61.7452943301433,0.2509433962264151,0.2705660377358491
7,ABT,118.08,-0.017882392081843182,0.11509433962264151,-0.027587910730462063,0.2679245283018868,0.08042821850123517,0.8716981132075472,0.0703408266860044,0.8188679245283019,-63.64344573609742,0.19433962264150942,0.45358490566037735
8,ACN,304.84,0.22553670499316542,0.6773584905660377,0.04925481017450867,0.6641509433962264,0.07629841471595507,0.8622641509433963,0.08495568921948943,0.9132075471698112,-74.27898840998091,0.043396226415094344,0.6320754716981132
9,ADBE,593.07,0.22302647859440738,0.6660377358490567,0.14980612640558374,0.9207547169811321,0.175559960356789,0.9698113207547169,0.04906868554649498,0.6452830188679245,-76.14356456500735,0.033962264150943396,0.6471698113207547
10,ADI,170.69,0.12451413136570266,0.4037735849056604,0.09332564693825258,0.8301886792452831,0.030861215122599255,0.7245283018867924,0.052407670016647145,0.6735849056603773,-61.602791639519864,0.25471698113207547,0.5773584905660377
11,ADM,60.66,0.1910465344590614,0.5867924528301887,-0.03942992874109267,0.2188679245283019,-0.11792932964955649,0.020754716981132074,0.0,0.10943396226415095,-30.77378152318405,0.9924528301886792,0.38566037735849057
12,ADP,201.48,0.19657916617175433,0.6,0.08009006111289803,0.7849056603773584,0.01855315706991551,0.6679245283018868,0.045074952020332994,0.6037735849056604,-61.9667169444666,0.2433962264150943,0.58
13,ADSK,297.73,0.010590271884864751,0.14339622641509434,-0.005179096498262345,0.3962264150943396,0.045473698995716155,0.7754716981132076,0.07062461792944746,0.8283018867924529,-63.14987529381201,0.2037735849056604,0.46943396226415096
14,AEE,80.72,0.10940076965365576,0.3641509433962264,-0.03502689778840414,0.23773584905660378,-0.06281202832926967,0.1509433962264151,-0.01680876979293539,0.05849056603773585,-38.47218691476496,0.9660377358490567,0.35547169811320756
15,AEP,85.19,0.03738431563565505,0.21509433962264152,-0.017869495042656183,0.31886792452830187,-0.009879125987912697,0.5018867924528302,0.03461258197716777,0.47547169811320755,-52.917663610407885,0.4867924528301886,0.39962264150943394
16,AES,26.17,0.01631067961165055,0.15471698113207547,-0.0643546657132641,0.10566037735849056,0.04847756410256414,0.7867924528301887,0.040556660039761556,0.5547169811320755,-53.057204344751376,0.47547169811320755,0.41547169811320755
17,AFL,54.15,0.169799092676604,0.5207547169811321,0.011771300448430408,0.48867924528301887,-0.05793319415448849,0.16792452830188678,0.03974654377880185,0.5358490566037736,-47.421084025944076,0.7037735849056603,0.48339622641509433
18,AIG,48.05,0.2461099585062239,0.7113207547169812,-0.003525508087930355,0.4037735849056604,-0.10052414825907909,0.0490566037735849,0.025832621690862374,0.3584905660377358,-42.230988746304085,0.8773584905660377,0.48
19,AIV,6.82,0.3946830265848672,0.9452830188679244,0.024024024024024045,0.5566037735849056,-0.04615384615384616,0.22452830188679246,-0.0580110497237569,0.015094339622641511,-39.34897978544796,0.9566037735849057,0.539622641509434
20,AIZ,156.5,0.17254813815838765,0.5339622641509434,0.01157003425764328,0.4867924528301886,-0.040465971796443866,0.2622641509433962,0.03738565557470493,0.5113207547169811,-47.44484176780092,0.7,0.49886792452830186
21,AJG,140.29,0.1921312032630862,0.590566037735849,0.0011417969028758768,0.4245283018867924,-0.031681391496410846,0.32452830188679244,0.019920029080334283,0.3,-43.61648620997635,0.8320754716981132,0.49433962264150944
22,AKAM,117.99,0.05197931526390869,0.23962264150943396,0.08207997065297128,0.7943396226415095,0.015929051145169574,0.6528301886792452,0.02949131838408512,0.41320754716981134,-61.889288071119545,0.24528301886792453,0.46905660377358493
23,ALB,170.6,0.00797636632200883,0.13773584905660377,0.006489675516224155,0.4566037735849056,-0.01711125194446044,0.4339622641509434,0.08084135833755696,0.8924528301886793,-56.542398584909286,0.3679245283018868,0.4577358490566038
