,Ticker,Price,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,Two-Week Price Return,Two-Week Return Percentile,Inverse RSI,RSI Percentile,HQM Score
0,A,146.36,0.18108457069076833,0.7418248342099245,0.09338114447930673,0.7737251314886805,0.06343093802223367,0.7897324491195975,0.019646091681761332,0.7757832151840841,-68.20035658216413,0.07237594328836039,0.6306883146581294
1,AA,36.4099,0.961740301724138,0.9757603475874685,0.0624423694193171,0.701692202149554,-0.06665214047680076,0.08655385319002973,-0.025952380952381008,0.25211525268694257,-50.47040395445941,0.6080493940086896,0.5248342099245369
2,AAA,25.031,-2.7964540962136863e-05,0.3241481820260691,-0.0007584830339322118,0.3103132860736337,0.0004396482813748694,0.39080722616053054,0.0008396641343461512,0.5828950377315344,-51.556701894582126,0.5577406814543792,0.4331808826892294
3,AAAU,17.6981,-0.03997287767832919,0.2275325863251772,-0.009064949608062669,0.2544020123485022,-0.06309687665431447,0.09501486393780013,-0.05205677557579012,0.11925451635033157,-34.59629785041744,0.9741596158243769,0.3340727189572376
4,AACG,3.03,1.1647495891976851,0.9830779785044592,0.09782608695652176,0.7823004802195289,0.032579062159214724,0.6784815915847244,-0.05015673981191227,0.12691516121655613,-48.30990188018727,0.7039789618111136,0.6549508346672764
5,AACQ,10.03,-0.0890099909173479,0.1681911731077064,0.0050100200400800534,0.361593871484107,0.008040201005025133,0.49033844042991087,0.002498750624687514,0.6144523210610565,-55.45953901683595,0.4001829407729247,0.4069517493711411
6,AACQU,11.05,-0.06908171861836551,0.18854333409558655,0.040489642184557584,0.6200548822318774,0.05038022813688224,0.750057168991539,0.02409638554216882,0.8008232334781614,-61.84008162272305,0.19826206265721474,0.5115481362908758
7,AADR,66.865,0.05849295551685916,0.4902812714383718,0.064220913576317,0.7066087354219072,0.029008925823330114,0.6609878801737937,-0.019718516346576734,0.303338669105877,-54.0923242710296,0.4550651726503544,0.5232563457580608
8,AAIC,4.04,0.04392764857881135,0.44923393551337754,-0.0024691358024690833,0.2938486165104047,0.002481389578163719,0.41984907386233705,-0.024154589371980593,0.26789389435170363,-49.98801981080426,0.6319460324719872,0.412554310541962
9,AAL,22.225,0.43064048921789516,0.9109307111822548,0.05782960495002379,0.6872856162817288,-0.09100204498977496,0.05545392179281958,-0.05546111347216318,0.10965012577178138,-41.850789476701884,0.8960667733821175,0.5318774296821404
10,AAMC,19.5,-0.09260120986505345,0.16453235764921106,0.05405405405405406,0.6749371141093071,0.1350407450523865,0.9002972787560027,0.0025706940874036356,0.6154813629087583,-61.748024926222826,0.20192087811571002,0.5114337983077979
11,AAME,4.25,0.66015625,0.9539217928195747,0.09819121447028421,0.7827578321518408,-0.011627906976744146,0.2697233020809513,-0.00468384074941442,0.4745026297736108,-51.749930465676236,0.5487079807912189,0.6059227075234392
12,AAN,33.39,0.7282608695652174,0.9602103818888635,0.3356,0.9476332037502858,-0.07442827442827449,0.07534873084838783,-0.08645690834473316,0.05351017608049394,-43.302617875615525,0.8655385319002973,0.5804482048936657
13,AAOI,8.62,-0.22690582959641264,0.08998399268236909,0.08701134930643122,0.7621769951978047,0.04738760631834736,0.7414818202606906,-0.018223234624145802,0.31717356505831235,-56.044453117447674,0.3750285844957695,0.45716899153898927
14,AAON,61.46,-0.16754706758770144,0.1191401783672536,-0.11479187671035583,0.06986050766064487,-0.06963366636391162,0.08175165790075463,-0.04963661666924386,0.1287445689458038,-37.53515432495598,0.9551795106334324,0.27093528470157785
15,AAP,204.71,0.2986741102581997,0.8487308483878344,0.024369495596477202,0.510862108392408,0.08490116063384393,0.8376400640292705,0.02673287190289905,0.8114566659044136,-62.86208313010055,0.17150697461696776,0.6360393322661788
16,AAPL,133.02,-0.07099207319202425,0.18648525040018296,-0.0035208629859914513,0.28527326777955636,0.06034276604224797,0.7810427624056712,0.044505744310459096,0.8686256574434027,-61.80665205650093,0.19986279442030644,0.46425794648982394
17,AAT,37.4,0.30268199233716464,0.8509032700663159,0.10357037474181169,0.7908758289503772,0.038023868998057105,0.7027212439972559,-0.0350877192982456,0.1935742053510176,-52.20725732479103,0.5302995655156643,0.6136748227761262
18,AAU,0.5,-0.1344988748485373,0.13663388977818433,0.02040816326530614,0.48696546992911044,-0.09567733767408203,0.050880402469700436,-0.07407407407407414,0.06997484564372285,-37.53695207022054,0.9550651726503544,0.3399039560942145
19,AAWW,69.35,0.25520361990950213,0.8170592270752344,0.03786291529482193,0.6054196203978962,-0.08218634197988364,0.06425794648982391,-0.0647336480107891,0.08746855705465356,-40.9640506035068,0.9111593871484106,0.49707294763320375
20,AAXJ,94.7,-0.035199429473791434,0.2382803567345072,0.011860241478790463,0.4262520009147039,0.008412309658183435,0.49485479076149097,0.0011629136272333167,0.590098330665447,-55.85878657978784,0.3825748913789161,0.42641207409101306
21,AB,46.1,0.22541201488569923,0.7914475188657673,0.1332350049164209,0.8287217013491882,0.023534635879218523,0.6303453007088955,0.0058913375518220195,0.664989709581523,-59.49790238457629,0.26252000914703866,0.6356048479304826
22,ABB,34.5094,0.1318268284683503,0.6625886119368855,0.05404398289554054,0.6748227761262291,0.009932689493707863,0.5139492339355134,-0.001175108538350152,0.5365881545849531,-55.50381831368033,0.39812485707752115,0.5572147267322205
23,ABBV,112.86,0.03722084367245655,0.4292247884747313,0.018592057761732873,0.4745026297736108,0.004986642920748017,0.45152069517493715,-0.022264575933466233,0.2823004802195289,-44.98747690574455,0.8178595929567802,0.49108163731991766
